artist,song,index,acousticness,danceability,duration_ms,energy,genre,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,0
Cardi B,Get Up 10,2,0.0977,0.806,231453.0,0.57,['pop'],0.0,1.0,0.105,-6.927,1.0,90.0,0.246,93.015,4.0,0.454,
Cardi B,Best Life (feat. Chance The Rapper),3,0.287,0.62,284856.0,0.625,['pop'],0.0,9.0,0.314,-7.438,1.0,90.0,0.553,167.911,4.0,0.665,
Cardi B,Bartier Cardi (feat. 21 Savage),1,0.00111,0.908,224285.0,0.524,['pop'],0.000678,1.0,0.383,-7.955,1.0,90.0,0.181,138.015,4.0,0.109,
Cardi B,Be Careful,2,0.0256,0.82,210787.0,0.568,['pop'],0.0,6.0,0.0952,-8.23,0.0,90.0,0.411,152.279,4.0,0.535,
Cardi B,She Bad,3,0.0183,0.791,230953.0,0.504,['pop'],0.0,10.0,0.0963,-7.864,1.0,90.0,0.266,159.949,4.0,0.355,
Cardi B,I Do (feat. SZA),0,0.27,0.886,200205.0,0.473,['pop'],2.58e-05,7.0,0.0864,-7.338,0.0,90.0,0.255,135.065,4.0,0.438,
Cardi B,Drip (feat. Migos),1,0.0511,0.968,262308.0,0.589,['pop'],0.0,11.0,0.0731,-7.808,1.0,90.0,0.255,129.993,4.0,0.268,
Cardi B,Money Bag,1,0.107,0.947,229005.0,0.788,['pop'],0.000691,10.0,0.108,-6.138,0.0,90.0,0.124,129.977,4.0,0.454,
Cardi B,Bickenhead,0,0.154,0.884,181624.0,0.814,['pop'],1.67e-06,7.0,0.158,-5.333,1.0,90.0,0.303,155.938,4.0,0.907,
Cardi B,I Like It,1,0.099,0.816,253390.0,0.726,['pop'],0.0,5.0,0.372,-3.998,0.0,90.0,0.129,136.048,4.0,0.65,
Cardi B,Thru Your Phone,0,0.17,0.837,188524.0,0.549,['pop'],0.0,0.0,0.057,-5.722,1.0,90.0,0.167,121.954,4.0,0.209,
Carly Pearce,Every Little Thing,2,0.44,0.637,180053.0,0.444,['contemporary country'],5.46e-06,0.0,0.0954,-6.355,1.0,53.0,0.0417,139.775,4.0,0.319,
Carrie Underwood,Cry Pretty,3,0.00495,0.351,246467.0,0.736,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop', 'post-teen pop']",0.0,6.0,0.109,-3.318,1.0,70.0,0.0459,140.299,3.0,0.237,
Carrie Underwood,The Champion,1,0.0822,0.666,223999.0,0.877,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop', 'post-teen pop']",0.0,6.0,0.128,-3.275,1.0,70.0,0.194,91.054,4.0,0.524,
Carrie Underwood,Dirty Laundry,0,0.0595,0.456,204093.0,0.874,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop', 'post-teen pop']",1.12e-05,10.0,0.111,-4.129,0.0,70.0,0.114,200.179,4.0,0.5,
Charlie Puth,Done For Me (feat. Kehlani),0,0.193,0.856,180493.0,0.632,"['pop', 'post-teen pop', 'viral pop']",0.0,6.0,0.0688,-3.692,0.0,81.0,0.074,112.009,4.0,0.697,
Charlie Puth,Attention,3,0.109,0.775,208787.0,0.613,"['pop', 'post-teen pop', 'viral pop']",2.33e-05,3.0,0.134,-4.586,0.0,81.0,0.0542,100.066,4.0,0.797,
Charlie Puth,How Long,1,0.211,0.845,200853.0,0.561,"['pop', 'post-teen pop', 'viral pop']",3.49e-06,1.0,0.0383,-5.253,0.0,81.0,0.0778,109.974,4.0,0.811,
Cheat Codes,No Promises (feat. Demi Lovato),2,0.0572,0.739,222787.0,0.619,"['dance pop', 'edm', 'indie poptimism', 'pop', 'post-teen pop', 'tropical house']",0.0,10.0,0.105,-6.669,1.0,78.0,0.162,112.961,4.0,0.58,
Childish Gambino,This Is America,0,0.117,0.854,225773.0,0.463,"['hip hop', 'pop rap', 'rap']",0.0,5.0,0.354,-6.159,1.0,82.0,0.137,120.024,4.0,0.549,
Childish Gambino,Redbone,3,0.199,0.743,326933.0,0.359,"['hip hop', 'pop rap', 'rap']",0.00611,1.0,0.137,-10.401,1.0,82.0,0.0794,160.083,4.0,0.587,
Chloe Kohanski,Wish I Didn’t Love You - The Voice Performance,3,0.835,0.468,220630.0,0.343,['deep talent show'],0.0,10.0,0.117,-5.57,1.0,34.0,0.0355,129.586,4.0,0.326,
